,width,height,channels,im_size,ctime,mtime,img_files,img_folders,img_subfolders
0,1300,1300,3,10150778,1518185602.7332287,1515304812.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img785.tif
1,1300,1300,3,10150778,1518185602.7452288,1515304811.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1555.tif
2,1300,1300,3,10150778,1518185602.7572286,1515304814.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img236.tif
3,1300,1300,3,10150778,1518185602.7692287,1515304806.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1452.tif
4,1300,1300,3,10150778,1518185602.7812288,1515304793.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img935.tif
5,1300,1300,3,10150778,1518185602.7972288,1515304762.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img335.tif
6,1300,1300,3,10150778,1518185602.8172288,1515304801.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img550.tif
7,1300,1300,3,10150778,1518185602.8372288,1515304761.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img226.tif
8,1300,1300,3,10150778,1518185602.8572288,1515304767.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img607.tif
9,1300,1300,3,10150778,1518185602.8692288,1515304802.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img542.tif
10,1300,1300,3,10150778,1518185602.881229,1515304811.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img430.tif
11,1300,1300,3,10150778,1518185602.8932288,1515304814.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img651.tif
12,1300,1300,3,10150778,1518185603.0132291,1515304798.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1337.tif
13,1300,1300,3,10150778,1518185603.0932293,1515304778.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img784.tif
14,1300,1300,3,10150778,1518185603.0972292,1515304808.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1153.tif
15,1300,1300,3,10150778,1518185603.1052291,1515304767.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1320.tif
16,1300,1300,3,10150778,1518185603.1132293,1515304811.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img86.tif
17,1300,1300,3,10150778,1518185603.1212292,1515304808.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img393.tif
18,1300,1300,3,10150778,1518185603.1292293,1515304793.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img599.tif
19,1300,1300,3,10150778,1518185603.1372292,1515304807.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1192.tif
20,1300,1300,3,10150778,1518185603.1452293,1515304767.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1533.tif
21,1300,1300,3,10150778,1518185603.1532292,1515304800.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1133.tif
22,1300,1300,3,10150778,1518185603.1612294,1515304765.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img586.tif
23,1300,1300,3,10150778,1518185603.1692293,1515304821.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img281.tif
24,1300,1300,3,10150778,1518185603.1772294,1515304817.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img756.tif
25,1300,1300,3,10150778,1518185603.1852293,1515304815.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img974.tif
26,1300,1300,3,10150778,1518185603.1932294,1515304774.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img958.tif
27,1300,1300,3,10150778,1518185603.1972294,1515304761.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img227.tif
28,1300,1300,3,10150778,1518185603.2052293,1515304762.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img791.tif
29,1300,1300,3,10150778,1518185603.2132294,1515304799.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img338.tif
30,1300,1300,3,10150778,1518185603.2212293,1515304762.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1414.tif
31,1300,1300,3,10150778,1518185603.2292295,1515304809.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1365.tif
32,1300,1300,3,10150778,1518185603.2372293,1515304815.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1480.tif
33,1300,1300,3,10150778,1518185603.2932296,1515304790.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1621.tif
34,1300,1300,3,10150778,1518185603.60523,1515304773.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1481.tif
35,1300,1300,3,10150778,1518185603.61323,1515304781.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img359.tif
36,1300,1300,3,10150778,1518185603.6212301,1515304805.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1593.tif
37,1300,1300,3,10150778,1518185603.62523,1515304777.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img975.tif
38,1300,1300,3,10150778,1518185603.63323,1515304793.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img658.tif
39,1300,1300,3,10150778,1518185603.64123,1515304822.0,AOI_2_Vegas_Roads_Test_Public,RGB-PanSharpen,RGB-PanSharpen_AOI_2_Vegas_img1342.tif
